Politician,Traded Issuer,Published,Traded,Filed After,Owner,Type,Size,Price,Unnamed: 9
Richard BlumenthalDemocratSenateCT,ELCM2 LLCN/A,20:00Yesterday,12 Mar2026,days27,Spouse,sell,1K–15K,,Goto trade detail page.
Richard BlumenthalDemocratSenateCT,NOT FADE AWAY LLCN/A,20:00Yesterday,23 Mar2026,days16,Spouse,buy,1K–15K,,Goto trade detail page.
Richard BlumenthalDemocratSenateCT,ELCM2 LLCN/A,20:00Yesterday,31 Mar2026,days8,Spouse,sell,1K–15K,,Goto trade detail page.
Richard BlumenthalDemocratSenateCT,NOT FADE AWAY LLCN/A,20:00Yesterday,31 Mar2026,days8,Spouse,buy,1K–15K,,Goto trade detail page.
Richard BlumenthalDemocratSenateCT,NOT FADE AWAY LLCN/A,20:00Yesterday,10 Mar2026,days29,Spouse,sell,1K–15K,,Goto trade detail page.
Richard BlumenthalDemocratSenateCT,ELCM2 LLCN/A,20:00Yesterday,12 Mar2026,days27,Spouse,buy,1K–15K,,Goto trade detail page.
Richard BlumenthalDemocratSenateCT,NOT FADE AWAY LLCN/A,20:00Yesterday,12 Mar2026,days27,Spouse,sell,1K–15K,,Goto trade detail page.
Richard BlumenthalDemocratSenateCT,NOT FADE AWAY LLCN/A,20:00Yesterday,23 Mar2026,days16,Spouse,sell,1K–15K,,Goto trade detail page.
Richard BlumenthalDemocratSenateCT,MH BUILT TO LAST LLCN/A,20:00Yesterday,24 Mar2026,days15,Spouse,buy,1K–15K,,Goto trade detail page.
Richard BlumenthalDemocratSenateCT,MH BUILT TO LAST LLCN/A,20:00Yesterday,26 Mar2026,days13,Spouse,sell,1K–15K,,Goto trade detail page.
Richard BlumenthalDemocratSenateCT,ELCM2 LLCN/A,20:00Yesterday,31 Mar2026,days8,Spouse,buy,1K–15K,,Goto trade detail page.
Richard BlumenthalDemocratSenateCT,NOT FADE AWAY LLCN/A,20:00Yesterday,31 Mar2026,days8,Spouse,buy,1K–15K,,Goto trade detail page.
